id,tool,context,text,mw_ny,ke_sw,tj_tg,zm_ny,archived,zm_bem,zm_toi,zm_loz,zm_lun,zm_kqn,zm_lue,mw_tum,country_code
budget--inputs,budget,,Inputs,zolowa,Pembejeo,Саҳмҳо,zolowa,,ifyakubomfya,Zyibelesyo zyakubelesya,minuno,zhimukwingízhamu muwundimi wenu,bintu byakwingijisha mu bunjimi,Vyakuzachiza,Vyakunjila,
budget--inthecropinformationtableyouwillbeabletoseetheprobabilitiesfordifferentcropsthroughthedifferentseasons,budget,,"In the crop information table, you will be able to see the probabilities for different crops through the different seasons.","Mu tebulo ya uthenga okhudza mbewu, muona kuthekera kwa mbewu zosiyanasiyana mu nyengo zosiyanasiyana",,,"Mu tebulo la zambiri zokhudza mbeu, mudzatha kuwona mwayi wa mbeu zosiyanasiyana pa nyengo zosiyanasiyana.",,"Mu tebulo lya mashiwi ya fyakulima ,mukamona ifingacitika pa fyakulima ifya pusana pusana mu nshita shapusana pusana.",Imulumbe yazyisyango,"fa pampili ya mangusa a licalo, muka bona zekona kuezahala kwa licalo ze shutana shutana","mutebulu yansangú yambutu, mukumonamu yuma yinateli kwilika kumbutu yadishiyashana muyilaaka yakudambula","mu sabwakya wapa bijimwa uji payeun tebulu,musakumona bintu abyo byaketekelwa kukamwekana monka mu bijimwa byapusana-pusana mu bimye bya mvula byapusana-pusana.","Mazu a kala mbuto, mujingonde jeka na jeka, namuwawana muchihanda chili na mazu ambuto ( muteulu ili namazu ambuto)","Mu thebulu lakulongosola za mbewu, muonengemo mwabi wakachitilo kambewu zakupambanapambana kwakuyana na nyengo zakupambanapambana ",
budget--legend,budget,,Legend,Zizindikiro,,,Wosaiwalika,,Icikolwe,Izyakaindi ( leged),waku salibala,kulumbwankoli,muntu wayuka mingilo yabusendwe,Chihande chamyaka yamunyima,chioneskero,
budget--length,budget,,Length,,,,,,,,,,,,,
budget--livelihood,budget,,livelihood,zochita zopezetsa ndalama,,,Moyo Wabwino,,,,,,,,,
budget--livestock,budget,,livestock,ziweto,,чорвоӣ,ziweto,,Ifitekwa,Izyivwubwa,limunanu,yimuna,bilelwa,Vimuna,Vyakuweta,
budget--malemember,budget,,Male Member,Munthu wa mwamuna,,,Membala wam'muna,,Membala umwaume,Baalumi bali mumbunga,Membala wa sina,membala weyala,membala wa mulume,Membala wa lunga,Membala mwanalume,
budget--newbudget,budget,,New Budget,Bajeti yatsopano,,,Bajeti Yatsopano,true,Ubutantiko bwa ndalama ubupya,Budget impya,pampili ye bonisa tusiso ya mashelengi yenca,bajeti yayiha,Mwaba wa maali mupya,Vilongeselo vyavihya vyakuzachishilamo jimbongo,Bajeti yiphya,
budget--nooutputsproduceforconsumption,budget,,No outputs produce for consumption,Palibe zokolora zomwe zagwiritsidwa (zadyedwa) ntchito pakhomo,,,Palibe zokolola zakudya pakhomo,true,,,,,,,,
budget--nowyouarereadytoexplorethecropinformationtool,budget,,Now you are ready to explore the crop information tool,Tsopano mukhoza kuunika zokhudza chida cha uthenga wa mbewu,,,Tsopano mwakonzeka kufufuza chida cha zokhudza mbeu.,,Nomba muli abaiteyanya ukufwailisha icibombelo ca mashiwi ya fyakulima,Aawaantaamu amuzyibe milumbekujatikizya zyibelesyo,Fa muitukisize kuitusisa mukwa wa mangusa a licalo .,mudi wunu adiwahisha kushinshika nsangú yambutu,pan mwakonsha kupesa-pesa masabwakya wapa bijimwa kwingijisha auno musabilo,Unalizange jino oholili ulinangule vitwa vya mazu a mbuto,"Sono mwanozgeka kuti muoneone vyakukhwaskana na chilwero cha uthenga wa mbewu ",
