month,Rainfall,min_tmin,mean_tmin,max_tmin,min_tmax,mean_tmax,max_tmax
1971-11,,12.1,15.8,19.6,21.8,27.3,30.7
1971-12,,8.4,11.4,15,16.4,24.3,28.6
1972-01,,8.3,11.6,15,20.7,24.2,28
1972-02,,9.6,13.2,17.6,20.7,27.3,31.7
1972-03,,10.7,16.9,20.7,24.7,31.8,36.3
1972-04,,15.5,19.2,21.7,26.3,32.3,35.7
1972-05,,15.3,18.9,22.2,22.5,30.2,35.2
1972-06,,18.3,19.7,22.1,26.7,30.2,34.4
1972-07,,16,18.5,20.6,21.7,28.2,30.6
1972-08,,16,19.1,20.4,22.7,28.4,32.2
1972-09,,16.7,18.6,20.7,26.6,29.6,31.6
1972-10,,13.2,16.4,20,23.4,27,30.5
1972-11,,10.6,14.5,18,22.7,28.3,32.5
1972-12,,9.5,12.1,16.2,19.7,23.9,26.9
1973-01,,1.2,11.6,17,19.2,24.9,29.7
1973-02,,10.3,13.7,18.3,20.1,27.1,31
1973-03,,13.4,17.5,22.2,25.2,31.9,39.4
1973-04,,15.8,19.6,23.5,22.4,32.6,36.5
1973-05,,15.5,18.7,21.9,22,29.6,34.1
1973-06,,16.3,18.1,19.4,24.6,28.2,32
1973-07,,16.3,18.1,19.4,24.6,28.2,32
1973-08,,16.7,17.9,19,22,26.8,29.3
1973-09,,15.7,17.6,19.2,20.2,27,29.3
1973-10,,12.9,15.2,18.2,22.3,26.8,29.5
1973-11,,10.5,14.6,17.7,18,25.1,29.9
1973-12,,8.7,11.4,15.3,21.6,24.8,28
1974-02,,10.4,14.2,18.8,21.6,28.2,32.9
1974-03,,11.4,15.5,18.5,24.6,29.8,32
1974-04,,15.5,18.8,21.2,29.4,33.2,37.3
1974-05,,16.6,19.4,22.7,21,31.7,36.4
1974-06,,16,18.3,21.7,22.7,27.4,33.5
1974-07,,15.2,18.3,20.4,22.7,27.6,30.9
1974-08,,16.6,18.3,20,24.7,27.7,30.7
1974-09,,14.8,17.5,19.3,24.3,27.4,30.8
1974-10,,13.8,17,19,23.2,28.4,31.7
1974-11,,,,,19,28.4,32.9
1974-12,,11,12.8,15.2,21,24.8,27.5
1975-01,,6.9,12,16.7,21.6,25.8,30.2
1975-02,,10.5,13.6,19.3,21.9,26.2,29.7
1975-04,,12,17.7,21.2,22,31.2,36.8
1975-05,,16.6,19.4,23.2,24.5,32.5,36.1
1975-06,,16.5,18.6,20.8,21.3,27.6,31.5
1975-07,,16.5,18.2,20.9,22.5,27.1,30
1975-08,,16.4,17.8,19.3,21.2,27,29.3
1975-09,,16.3,18.1,19.7,24.1,27.3,29.5
1975-10,,13.7,16.6,19.1,23.3,26.5,29.5
1975-11,,,,,19.3,24.8,29.7
1975-12,,9.5,12.1,14.9,15.2,23.6,27.6
1976-01,,8.1,10.9,13.2,18.6,24.6,28
1976-02,,9.3,12.2,17.4,20,25.9,30.5
1976-03,,12.4,16.5,20.6,25.7,30.5,33.5
